2026-03-26 16:56:56,332 - WARNING - 550973 | HH SSH000000 | Parents [20, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,340 - WARNING - 550973 | HH SSH000001 | Parents [25, 24] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,342 - WARNING - 550973 | HH SSH000002 | Parents [23, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,342 - WARNING - 550973 | HH SSH000003 | Parents [27, 24] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,342 - WARNING - 550973 | HH SSH000004 | Parents [25, 21] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,342 - WARNING - 550973 | HH SSH000005 | Parents [26, 25] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,342 - WARNING - 550973 | HH SSH000006 | Parents [23, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,342 - WARNING - 550973 | HH SSH000007 | Parents [31, 20] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,347 - WARNING - 550973 | HH SSH000008 | Parents [27, 25] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,348 - WARNING - 550973 | HH SSH000009 | Parents [32, 20] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,348 - WARNING - 550973 | HH SSH000010 | Parents [27, 25] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,349 - WARNING - 550973 | HH SSH000011 | Parents [22, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,349 - WARNING - 550973 | HH SSH000012 | Parents [26, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,350 - WARNING - 550973 | HH SSH000013 | Parents [26, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,350 - WARNING - 550973 | HH SSH000014 | Parents [23, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,350 - WARNING - 550973 | HH SSH000015 | Parents [29, 25] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,352 - WARNING - 550973 | HH SSH000016 | Parents [26, 25] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,352 - WARNING - 550973 | HH SSH000017 | Parents [27, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,352 - WARNING - 550973 | HH SSH000018 | Parents [25, 26] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,352 - WARNING - 550973 | HH SSH000019 | Parents [29, 25] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,352 - WARNING - 550973 | HH SSH000020 | Parents [26, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,358 - WARNING - 550973 | HH SSH000021 | Parents [22, 32] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,358 - WARNING - 550973 | HH SSH000022 | Parents [25, 21] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,359 - WARNING - 550973 | HH SSH000023 | Parents [28, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,359 - WARNING - 550973 | HH SSH000024 | Parents [30, 25] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,360 - WARNING - 550973 | HH SSH000025 | Parents [25, 29] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,360 - WARNING - 550973 | HH SSH000026 | Parents [25, 29] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,361 - WARNING - 550973 | HH SSH000027 | Parents [28, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,362 - WARNING - 550973 | HH SSH000028 | Parents [27, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,363 - WARNING - 550973 | HH SSH000029 | Parents [26, 29] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,363 - WARNING - 550973 | HH SSH000030 | Parents [27, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,363 - WARNING - 550973 | HH SSH000031 | Parents [32, 20] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,363 - WARNING - 550973 | HH SSH000032 | Parents [27, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,363 - WARNING - 550973 | HH SSH000033 | Parents [27, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,363 - WARNING - 550973 | HH SSH000034 | Parents [30, 26] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,367 - WARNING - 550973 | HH SSH000035 | Parents [28, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,367 - WARNING - 550973 | HH SSH000036 | Parents [28, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,367 - WARNING - 550973 | HH SSH000037 | Parents [26, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,370 - WARNING - 550973 | HH SSH000038 | Parents [26, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,371 - WARNING - 550973 | HH SSH000039 | Parents [27, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,371 - WARNING - 550973 | HH SSH000040 | Parents [26, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
