"Geslacht";"Leeftijd";"Geboorteland (ouders)";"Herkomstland";"Onderwijsniveau";"Perioden";"Bevolking (x 1000)"
"Mannen";"15 tot 25 jaar";"Totaal";"Nederland";"111 Basisonderwijs";"2019 3e kwartaal";91
"Mannen";"15 tot 25 jaar";"Totaal";"Nederland";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";92
"Mannen";"15 tot 25 jaar";"Totaal";"Nederland";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";177
"Mannen";"15 tot 25 jaar";"Totaal";"Nederland";"211 Mbo2 en mbo3";"2019 3e kwartaal";71
"Mannen";"15 tot 25 jaar";"Totaal";"Nederland";"212 Mbo4";"2019 3e kwartaal";81
"Mannen";"15 tot 25 jaar";"Totaal";"Nederland";"213 Havo, vwo";"2019 3e kwartaal";200
"Mannen";"15 tot 25 jaar";"Totaal";"Nederland";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";71
"Mannen";"15 tot 25 jaar";"Totaal";"Nederland";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";10
"Mannen";"15 tot 25 jaar";"Totaal";"Nederland";"Weet niet of onbekend";"2019 3e kwartaal";3
"Mannen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"111 Basisonderwijs";"2019 3e kwartaal";13
"Mannen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";9
"Mannen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";19
"Mannen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"211 Mbo2 en mbo3";"2019 3e kwartaal";5
"Mannen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"212 Mbo4";"2019 3e kwartaal";6
"Mannen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"213 Havo, vwo";"2019 3e kwartaal";21
"Mannen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";8
"Mannen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";1
"Mannen";"15 tot 25 jaar";"Totaal";"Europa (exclusief Nederland)";"Weet niet of onbekend";"2019 3e kwartaal";2
"Mannen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"111 Basisonderwijs";"2019 3e kwartaal";38
"Mannen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";33
"Mannen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";33
"Mannen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"211 Mbo2 en mbo3";"2019 3e kwartaal";15
"Mannen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"212 Mbo4";"2019 3e kwartaal";11
"Mannen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"213 Havo, vwo";"2019 3e kwartaal";50
"Mannen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";9
"Mannen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";3
"Mannen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"Weet niet of onbekend";"2019 3e kwartaal";2
"Mannen";"25 tot 35 jaar";"Totaal";"Nederland";"111 Basisonderwijs";"2019 3e kwartaal";16
"Mannen";"25 tot 35 jaar";"Totaal";"Nederland";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";44
"Mannen";"25 tot 35 jaar";"Totaal";"Nederland";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";27
"Mannen";"25 tot 35 jaar";"Totaal";"Nederland";"211 Mbo2 en mbo3";"2019 3e kwartaal";119
"Mannen";"25 tot 35 jaar";"Totaal";"Nederland";"212 Mbo4";"2019 3e kwartaal";135
"Mannen";"25 tot 35 jaar";"Totaal";"Nederland";"213 Havo, vwo";"2019 3e kwartaal";65
"Mannen";"25 tot 35 jaar";"Totaal";"Nederland";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";232
"Mannen";"25 tot 35 jaar";"Totaal";"Nederland";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";145
