"Geslacht";"Leeftijd";"Onderwijssoorten";"Perioden";"Regio's";"Aantal leerlingen (aantal)"
"Mannen";"Jonger dan 5 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2227
"Mannen";"Jonger dan 5 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";13
"Mannen";"Jonger dan 5 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";25
"Mannen";"5 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2982
"Mannen";"5 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";39
"Mannen";"5 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";59
"Mannen";"6 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2872
"Mannen";"6 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";57
"Mannen";"6 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";98
"Mannen";"7 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2951
"Mannen";"7 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";70
"Mannen";"7 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";117
"Mannen";"8 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2911
"Mannen";"8 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";108
"Mannen";"8 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";112
"Mannen";"9 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2886
"Mannen";"9 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";147
"Mannen";"9 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";129
"Mannen";"10 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2868
"Mannen";"10 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";157
"Mannen";"10 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";122
"Mannen";"11 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2648
"Mannen";"11 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";190
"Mannen";"11 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";156
"Mannen";"12 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";929
"Mannen";"12 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";112
"Mannen";"12 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";129
"Mannen";"13 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";38
"Mannen";"13 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";17
"Mannen";"13 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";132
"Mannen";"14 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";1
"Mannen";"14 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"14 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";148
"Mannen";"15 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"15 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"15 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";159
"Mannen";"16 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"16 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"16 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";140
"Mannen";"17 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"17 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"17 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";86
"Mannen";"18 jaar of ouder";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"18 jaar of ouder";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"18 jaar of ouder";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";47
"Vrouwen";"Jonger dan 5 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2135
"Vrouwen";"Jonger dan 5 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";1
"Vrouwen";"Jonger dan 5 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";8
"Vrouwen";"5 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";3011
"Vrouwen";"5 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";8
"Vrouwen";"5 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";33
"Vrouwen";"6 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2874
"Vrouwen";"6 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";18
"Vrouwen";"6 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";23
"Vrouwen";"7 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2869
"Vrouwen";"7 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";48
"Vrouwen";"7 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";44
"Vrouwen";"8 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2946
"Vrouwen";"8 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";46
"Vrouwen";"8 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";44
"Vrouwen";"9 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2928
"Vrouwen";"9 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";87
"Vrouwen";"9 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";38
"Vrouwen";"10 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2891
"Vrouwen";"10 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";80
"Vrouwen";"10 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";53
"Vrouwen";"11 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";2716
"Vrouwen";"11 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";88
"Vrouwen";"11 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";45
"Vrouwen";"12 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";827
"Vrouwen";"12 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";65
"Vrouwen";"12 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";46
"Vrouwen";"13 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";40
"Vrouwen";"13 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";7
"Vrouwen";"13 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";51
"Vrouwen";"14 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";1
"Vrouwen";"14 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Vrouwen";"14 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";49
"Vrouwen";"15 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Vrouwen";"15 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Vrouwen";"15 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";71
"Vrouwen";"16 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Vrouwen";"16 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Vrouwen";"16 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";57
"Vrouwen";"17 jaar";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Vrouwen";"17 jaar";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Vrouwen";"17 jaar";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";48
"Vrouwen";"18 jaar of ouder";"Basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Vrouwen";"18 jaar of ouder";"Speciaal basisonderwijs";"2019/'20";"'s-Gravenhage (gemeente)";0
"Vrouwen";"18 jaar of ouder";"Speciale scholen";"2019/'20";"'s-Gravenhage (gemeente)";27
