"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"Perioden";"Regio's";"Leerlingen/studenten (aantal)"
"Mannen";"Jonger dan 10 jaar";"Vo algemene leerjaren 1-3";"Nederlandse achtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Vo algemene leerjaren 1-3";"Westerse migratieachtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Vo algemene leerjaren 1-3";"Niet-westerse migratieachtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Vwo 3-6";"Nederlandse achtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Vwo 3-6";"Westerse migratieachtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Vwo 3-6";"Niet-westerse migratieachtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Havo 3-5";"Nederlandse achtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Havo 3-5";"Westerse migratieachtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Havo 3-5";"Niet-westerse migratieachtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Vmbo theoretische-gemengde leerweg 3-4";"Nederlandse achtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Vmbo theoretische-gemengde leerweg 3-4";"Westerse migratieachtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Vmbo theoretische-gemengde leerweg 3-4";"Niet-westerse migratieachtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Vmbo basis-kaderberoeps 3-4";"Nederlandse achtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Vmbo basis-kaderberoeps 3-4";"Westerse migratieachtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Vmbo basis-kaderberoeps 3-4";"Niet-westerse migratieachtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Praktijkonderwijs";"Nederlandse achtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
"Mannen";"Jonger dan 10 jaar";"Praktijkonderwijs";"Westerse migratieachtergrond";"2019/'20";"'s-Gravenhage (gemeente)";0
