"Geslacht";"Leeftijd";"Regio's";"Perioden";"Totaal personen in huishoudens (aantal)";"Personen in particuliere huishoudens/Totaal in particuliere huishoudens (aantal)";"Personen in particuliere huishoudens/Thuiswonend kind (aantal)";"Personen in particuliere huishoudens/Alleenstaand (aantal)";"Personen in particuliere huishoudens/Samenwonend/Totaal samenwonende personen (aantal)";"Personen in particuliere huishoudens/Samenwonend/Partner in niet-gehuwd paar zonder ki... (aantal)";"Personen in particuliere huishoudens/Samenwonend/Partner in gehuwd paar zonder kinderen (aantal)";"Personen in particuliere huishoudens/Samenwonend/Partner in niet-gehuwd paar met kinderen (aantal)";"Personen in particuliere huishoudens/Samenwonend/Partner in gehuwd paar met kinderen (aantal)";"Personen in particuliere huishoudens/Ouder in eenouderhuishouden (aantal)";"Personen in particuliere huishoudens/Overig lid huishouden (aantal)";"Personen in institutionele huishoudens (aantal)"
"Mannen";"0 tot 5 jaar";"'s-Gravenhage (gemeente)";"2019";16180;16153;15683;;;;;;;;470;27
"Mannen";"5 tot 10 jaar";"'s-Gravenhage (gemeente)";"2019";15915;15889;15479;;;;;;;;410;26
"Mannen";"10 tot 15 jaar";"'s-Gravenhage (gemeente)";"2019";15200;15171;14741;;;;;;;;430;29
"Mannen";"15 tot 20 jaar";"'s-Gravenhage (gemeente)";"2019";15432;15373;13696;1093;211;203;2;6;0;0;373;59
"Mannen";"20 tot 25 jaar";"'s-Gravenhage (gemeente)";"2019";17319;17031;8645;5316;2262;1847;156;161;98;9;799;288
"Mannen";"25 tot 30 jaar";"'s-Gravenhage (gemeente)";"2019";20789;20397;4385;7574;7479;4641;932;946;960;30;929;392
"Mannen";"30 tot 35 jaar";"'s-Gravenhage (gemeente)";"2019";20677;20309;1781;6584;11221;3996;1415;2130;3680;102;621;368
"Mannen";"35 tot 40 jaar";"'s-Gravenhage (gemeente)";"2019";20240;19881;909;5872;12524;2294;1149;2822;6259;201;375;359
"Mannen";"40 tot 45 jaar";"'s-Gravenhage (gemeente)";"2019";18964;18659;512;5345;12189;1596;964;2535;7094;356;257;305
"Mannen";"45 tot 50 jaar";"'s-Gravenhage (gemeente)";"2019";20814;20515;452;5944;13179;1622;1265;2366;7926;648;292;299
"Mannen";"50 tot 55 jaar";"'s-Gravenhage (gemeente)";"2019";19136;18844;249;5383;12140;1577;1965;1600;6998;763;309;292
"Mannen";"55 tot 60 jaar";"'s-Gravenhage (gemeente)";"2019";17113;16822;152;5028;10627;1439;3174;1007;5007;667;348;291
"Mannen";"60 tot 65 jaar";"'s-Gravenhage (gemeente)";"2019";13913;13654;69;4369;8507;1122;4450;441;2494;411;298;259
"Mannen";"65 tot 70 jaar";"'s-Gravenhage (gemeente)";"2019";11844;11611;28;3566;7549;851;5287;164;1247;239;229;233
"Mannen";"70 tot 75 jaar";"'s-Gravenhage (gemeente)";"2019";10248;10017;8;2944;6764;559;5513;81;611;131;170;231
"Mannen";"75 tot 80 jaar";"'s-Gravenhage (gemeente)";"2019";6171;5981;0;1812;4003;281;3403;25;294;75;91;190
"Mannen";"80 tot 85 jaar";"'s-Gravenhage (gemeente)";"2019";3806;3577;0;1196;2280;149;2017;7;107;44;57;229
