"Leeftijd referentiepersoon";"Perioden";"Regio's";"Particuliere huishoudens: samenstelling/Eenpersoonshuishouden (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Meerpersoonshuishoudens zonder kinderen (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Meerpersoonshuishoudens met kinderen (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Niet-gehuwd paar/0 kinderen (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Niet-gehuwd paar/1 kind (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Niet-gehuwd paar/2 kinderen (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Niet-gehuwd paar/3 of meer kinderen (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Gehuwd paar/0 kinderen (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Gehuwd paar/1 kind (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Gehuwd paar/2 kinderen (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Gehuwd paar/3 of meer kinderen (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Eenouderhuishouden/1 kind (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Eenouderhuishouden/2 kinderen (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Eenouderhuishouden/3 of meer kinderen (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Overig huishouden (aantal)"
"15 tot 20 jaar";"2019";"'s-Gravenhage (gemeente)";2587;175;36;139;4;0;2;2;0;0;0;29;1;0;34
"20 tot 25 jaar";"2019";"'s-Gravenhage (gemeente)";11344;2028;697;1617;124;27;9;154;79;16;3;349;75;15;257
"25 tot 30 jaar";"2019";"'s-Gravenhage (gemeente)";14158;5765;3386;4335;652;237;60;917;650;267;44;922;426;128;513
"30 tot 35 jaar";"2019";"'s-Gravenhage (gemeente)";11041;5561;8219;3785;1285;694;160;1375;1734;1503;448;1202;815;378;401
"35 tot 40 jaar";"2019";"'s-Gravenhage (gemeente)";9099;3461;12223;2133;1189;1301;351;1096;1793;3035;1446;1433;1076;599;232
"40 tot 45 jaar";"2019";"'s-Gravenhage (gemeente)";8174;2494;13170;1457;903;1245;404;910;1465;3524;2132;1731;1206;560;127
"45 tot 50 jaar";"2019";"'s-Gravenhage (gemeente)";9229;2845;14542;1520;899;1104;377;1211;1813;3806;2328;2339;1371;505;114
"50 tot 55 jaar";"2019";"'s-Gravenhage (gemeente)";9031;3516;12341;1514;737;710;179;1914;2269;3088;1663;2391;1041;263;88
"55 tot 60 jaar";"2019";"'s-Gravenhage (gemeente)";9491;4652;8622;1412;574;349;110;3133;2337;1853;826;1909;550;114;107
"60 tot 65 jaar";"2019";"'s-Gravenhage (gemeente)";9221;5676;4363;1140;307;125;36;4435;1559;682;260;1133;220;41;101
"65 tot 70 jaar";"2019";"'s-Gravenhage (gemeente)";8527;6201;2234;868;131;48;13;5275;890;285;72;681;97;17;58
"70 tot 75 jaar";"2019";"'s-Gravenhage (gemeente)";7953;6156;1132;586;85;13;6;5531;476;101;35;366;44;6;39
"75 tot 80 jaar";"2019";"'s-Gravenhage (gemeente)";5828;3747;609;308;27;8;3;3418;244;37;13;250;25;2;21
"80 tot 85 jaar";"2019";"'s-Gravenhage (gemeente)";4556;2201;327;167;8;2;1;2018;99;7;1;191;14;4;16
"85 tot 90 jaar";"2019";"'s-Gravenhage (gemeente)";3181;1000;187;72;8;1;0;921;40;1;1;125;10;1;7
"90 tot 95 jaar";"2019";"'s-Gravenhage (gemeente)";1481;277;81;22;0;1;0;251;5;0;0;71;4;0;4
"95 jaar of ouder";"2019";"'s-Gravenhage (gemeente)";479;45;22;4;2;0;0;39;1;0;0;19;0;0;2
