Leeftijd;Mannen;Vrouwen
105 jaar of ouder;0;0
104 jaar;0;0
103 jaar;0;0
102 jaar;0;0
101 jaar;0;0
100 jaar;0;1 000
99 jaar;0;1 000
98 jaar;1 000;2 000
97 jaar;1 000;3 000
96 jaar;1 000;5 000
95 jaar;2 000;7 000
94 jaar;3 000;9 000
93 jaar;4 000;11 000
92 jaar;6 000;14 000
91 jaar;7 000;17 000
90 jaar;10 000;21 000
89 jaar;12 000;24 000
88 jaar;15 000;29 000
87 jaar;18 000;32 000
86 jaar;22 000;36 000
85 jaar;24 000;38 000
84 jaar;28 000;42 000
83 jaar;32 000;45 000
82 jaar;36 000;48 000
81 jaar;39 000;51 000
80 jaar;45 000;56 000
79 jaar;49 000;59 000
78 jaar;54 000;63 000
77 jaar;55 000;62 000
76 jaar;60 000;67 000
75 jaar;67 000;73 000
74 jaar;73 000;78 000
73 jaar;71 000;76 000
72 jaar;103 000;107 000
71 jaar;101 000;105 000
70 jaar;98 000;101 000
69 jaar;96 000;99 000
68 jaar;96 000;98 000
67 jaar;97 000;98 000
66 jaar;101 000;103 000
65 jaar;102 000;103 000
64 jaar;104 000;105 000
63 jaar;106 000;108 000
62 jaar;110 000;110 000
61 jaar;112 000;113 000
60 jaar;115 000;115 000
59 jaar;119 000;119 000
58 jaar;120 000;120 000
57 jaar;124 000;124 000
56 jaar;125 000;125 000
55 jaar;129 000;127 000
54 jaar;131 000;129 000
53 jaar;129 000;127 000
52 jaar;127 000;126 000
51 jaar;127 000;125 000
50 jaar;128 000;127 000
49 jaar;133 000;133 000
48 jaar;130 000;130 000
47 jaar;125 000;125 000
46 jaar;118 000;120 000
45 jaar;110 000;111 000
44 jaar;106 000;107 000
43 jaar;101 000;103 000
42 jaar;101 000;101 000
41 jaar;100 000;101 000
40 jaar;102 000;102 000
39 jaar;102 000;102 000
38 jaar;106 000;105 000
37 jaar;104 000;104 000
36 jaar;103 000;102 000
35 jaar;102 000;101 000
34 jaar;106 000;104 000
33 jaar;107 000;106 000
32 jaar;109 000;108 000
31 jaar;111 000;108 000
30 jaar;110 000;108 000
29 jaar;111 000;109 000
28 jaar;116 000;112 000
27 jaar;115 000;112 000
26 jaar;114 000;110 000
25 jaar;113 000;109 000
24 jaar;112 000;109 000
23 jaar;109 000;106 000
22 jaar;108 000;104 000
21 jaar;108 000;105 000
20 jaar;111 000;107 000
19 jaar;111 000;106 000
18 jaar;111 000;106 000
17 jaar;107 000;101 000
16 jaar;105 000;100 000
15 jaar;105 000;100 000
14 jaar;101 000;97 000
13 jaar;98 000;94 000
12 jaar;98 000;93 000
11 jaar;95 000;91 000
10 jaar;98 000;93 000
9 jaar;97 000;92 000
8 jaar;96 000;92 000
7 jaar;94 000;89 000
6 jaar;92 000;88 000
5 jaar;90 000;85 000
4 jaar;91 000;87 000
3 jaar;89 000;85 000
2 jaar;89 000;85 000
1 jaar;88 000;83 000
0 jaar;86 000;82 000
