"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"Perioden";"Regio's";"Bevolking op 1 januari (aantal)"
"Mannen";"0 tot 5 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6489
"Mannen";"0 tot 5 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";3240
"Mannen";"0 tot 5 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6451
"Mannen";"5 tot 10 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6456
"Mannen";"5 tot 10 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";2917
"Mannen";"5 tot 10 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6542
"Mannen";"10 tot 15 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6028
"Mannen";"10 tot 15 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";2425
"Mannen";"10 tot 15 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6747
"Mannen";"15 tot 20 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";5982
"Mannen";"15 tot 20 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";2240
"Mannen";"15 tot 20 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";7210
"Mannen";"20 tot 25 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6020
"Mannen";"20 tot 25 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";3253
"Mannen";"20 tot 25 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";8046
"Mannen";"25 tot 30 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";7942
"Mannen";"25 tot 30 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";4099
"Mannen";"25 tot 30 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";8748
"Mannen";"30 tot 35 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";7301
"Mannen";"30 tot 35 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";4580
"Mannen";"30 tot 35 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";8796
"Mannen";"35 tot 40 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";7187
"Mannen";"35 tot 40 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";4559
"Mannen";"35 tot 40 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";8494
"Mannen";"40 tot 45 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";7717
"Mannen";"40 tot 45 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";4180
"Mannen";"40 tot 45 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";7067
"Mannen";"45 tot 50 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";9434
"Mannen";"45 tot 50 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";3912
"Mannen";"45 tot 50 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";7468
"Mannen";"50 tot 55 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";9440
"Mannen";"50 tot 55 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";3290
"Mannen";"50 tot 55 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6406
"Mannen";"55 tot 60 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";9141
"Mannen";"55 tot 60 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";2471
